category,trait,alcidae,anatidae,aphrodroma;bulweria;daption;halobaena;pachyptila;pagodroma;pelecanoides;thalassoica,ardenna;calonectris;fulmarus;macronectes;precellaria;puffinus,creagrus;rissa;pagophila;xema;chroicocephalus;hydrocoloeus;rhodostethia;leucophaeus;ichthyaetus;larus,diomedeidae,fregatidae,gaviidae,gelochelidon;hydroprogne;thalasseus;sternula;onychoprion;sterna;chlidonias;phaetusa;larosterna,hydrobatidae,oceanitidae,pelecanidae,phaethontidae,phalacrocoracidae,podicipedidae,pseudobulweria,pterodroma,scolopacidae,spheniscidae,stercorariidae,sulidae
biophysical traits,adult body mass/body size,50mm-999mm,50mm-999mm;>1000mm,50mm-999mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,>1000mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,50mm-999mm,50mm-999mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,50mm-999mm,50mm-999mm;>1000mm,50mm-999mm;>1000mm,>1000mm
biophysical traits,calcium carbonate structure location,external,external,external,external,external,external,external,external,external,external,external,external,external,external,external,external,external,external,external,external,external
biophysical traits,calcium carbonate structure stages,egg,egg,egg,egg,egg,egg,egg,egg,egg,egg,egg,egg,egg,egg,egg,egg,egg,egg,egg,egg,egg
biophysical traits,communication requirement (sound),yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
biophysical traits,extreme pressure wave sensitive structures,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
biophysical traits,flight,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
biophysical traits,"navigation requirements (sound or light, or magnetic)",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
biophysical traits,respiration structures,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lung,lungs,lungs
breeding/nesting range/number of spawning aggregations (fish),number of sites,one;few;many,one;few;many;does not aggregate,one;few;many,one;few;many,one;few;many;does not aggregate,one;few;many,one;few;many,one;few;many;does not aggregate,one;few;many,one;few;many,one;few;many,one;few;many,one;few;many,one;few;many,one;few;many;does not aggregate,one;few;many,one;few;many,does not aggregate,one;few;many,one;few;many,one;few;many
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
