id,name,rank,parent,parent_level
20300,eoacanthocephala,class,acanthocephala,phylum
20285,palaeacanthocephala,class,acanthocephala,phylum
14165,clitellata,class,annelida,phylum
1019642,gephyrea,class,annelida,phylum
883,polychaeta,class,annelida,phylum
819076,machaeridia,class,annelida,phylum
1300,arachnida,class,arthropoda,phylum
1302,pycnogonida,class,arthropoda,phylum
1069,branchiopoda,class,arthropoda,phylum
1070,maxillopoda,class,arthropoda,phylum
1067,remipedia,class,arthropoda,phylum
118086,collembola,class,arthropoda,phylum
1307,insecta,class,arthropoda,phylum
1304,chilopoda,class,arthropoda,phylum
384687,pauropoda,class,arthropoda,phylum
877220,trilobita,class,arthropoda,phylum
889925,hexanauplia,class,arthropoda,phylum
1071,malacostraca,class,arthropoda,phylum
845958,ichthyostraca,class,arthropoda,phylum
1078,ostracoda,class,arthropoda,phylum
NA,NA,NA,aschelminthes,phylum
148950,fragilariophyceae,class,bacillariophyta,phylum
104019,craniata,class,brachiopoda,phylum
235154,lingulata,class,brachiopoda,phylum
104020,rhynchonellata,class,brachiopoda,phylum
1795,gymnolaemata,class,bryozoa,phylum
1794,stenolaemata,class,bryozoa,phylum
NA,NA,NA,cephalorhyncha,phylum
562854,ascetosporea,class,cercozoa,phylum
591228,gromiidea,class,cercozoa,phylum
591229,phytomyxea,class,cercozoa,phylum
590917,chlorarachnea,class,cercozoa,phylum
5949,sagittoidea,class,chaetognatha,phylum
368674,chlorarachniophyceae,class,chlorarachniophyta,phylum
368675,bryopsidophyceae,class,chlorophyta,phylum
368676,nephroselmidophyceae,class,chlorophyta,phylum
368678,pleurastrophyceae,class,chlorophyta,phylum
17329,prasinophyceae,class,chlorophyta,phylum
886274,pyramimonadophyceae,class,chlorophyta,phylum
886257,chlorodendrophyceae,class,chlorophyta,phylum
802,chlorophyceae,class,chlorophyta,phylum
368677,pedinophyceae,class,chlorophyta,phylum
160573,trebouxiophyceae,class,chlorophyta,phylum
146216,ulvophyceae,class,chlorophyta,phylum
104897,leptocardii,class,chordata,phylum
146421,appendicularia,class,chordata,phylum
1839,ascidiacea,class,chordata,phylum
17446,larvacea,class,chordata,phylum
22558,sorberacea,class,chordata,phylum
22626,thaliacea,class,chordata,phylum
10190,cephalaspidomorphi,class,chordata,phylum
10189,myxini,class,chordata,phylum
843664,actinopteri,class,chordata,phylum
10194,actinopterygii,class,chordata,phylum
843665,coelacanthi,class,chordata,phylum
10193,elasmobranchii,class,chordata,phylum
10196,holocephali,class,chordata,phylum
1836,aves,class,chordata,phylum
1837,mammalia,class,chordata,phylum
1838,reptilia,class,chordata,phylum
NA,NA,NA,chrysophyta,phylum
1285,kinetofragminophora,class,ciliophora,phylum
1289,polyhymenophora,class,ciliophora,phylum
425519,heterotrichea,class,ciliophora,phylum
1292,anthozoa,class,cnidaria,phylum
135218,cnidaria incertae sedis,class,cnidaria,phylum
135219,cubozoa,class,cnidaria,phylum
1337,hydrozoa,class,cnidaria,phylum
146271,myxozoa,class,cnidaria,phylum
152199,polypodiozoa,class,cnidaria,phylum
152206,scyphomedusae,class,cnidaria,phylum
135220,scyphozoa,class,cnidaria,phylum
265044,staurozoa,class,cnidaria,phylum
NA,NA,NA,craspediophyta,phylum
NA,NA,NA,craspedophyta,phylum
17639,cryptophyceae,class,cryptophyta,phylum
559325,ctenophora incertae sedis,class,ctenophora,phylum
1250,nuda,class,ctenophora,phylum
867234,scleroctenophora,class,ctenophora,phylum
1249,tentaculata,class,ctenophora,phylum
106404,eucycliophora,class,cycliophora,phylum
14219,rhombozoa,class,dicyemida,phylum
123080,asteroidea,class,echinodermata,phylum
123084,ophiuroidea,class,echinodermata,phylum
148745,stelleroidea,class,echinodermata,phylum
123081,crinoidea,class,echinodermata,phylum
123082,echinoidea,class,echinodermata,phylum
149846,holothurioidea,class,echinodermata,phylum
123083,holothuroidea,class,echinodermata,phylum
NA,NA,NA,ectoprocta,phylum
NA,NA,NA,entoprocta,phylum
NA,NA,NA,euglenophyta,phylum
1048156,fusulinata,class,foraminifera,phylum
1381420,nodosariata,class,foraminifera,phylum
NA,NA,NA,gastrotricha,phylum
NA,NA,NA,gnathostomulida,phylum
115057,prymnesiophyceae,class,haptophyta,phylum
1820,enteropneusta,class,hemichordata,phylum
380352,graptolithina,class,hemichordata,phylum
579849,graptolithoidea,class,hemichordata,phylum
1819,pterobranchia,class,hemichordata,phylum
NA,NA,NA,heterokontophyta,phylum
1433251,allomalorhagida,class,kinorhyncha,phylum
101064,cyclorhagida,class,kinorhyncha,phylum
1433677,homalorhagae,class,kinorhyncha,phylum
NA,NA,NA,loricifera,phylum
NA,NA,NA,mesozoa,phylum
871021,amphineura,class,mollusca,phylum
105,bivalvia,class,mollusca,phylum
151365,caudofoveata,class,mollusca,phylum
11707,cephalopoda,class,mollusca,phylum
385738,conchifera,class,mollusca,phylum
101,gastropoda,class,mollusca,phylum
234066,lamellibranchiata,class,mollusca,phylum
153958,loricata,class,mollusca,phylum
415,monoplacophora,class,mollusca,phylum
151265,pelecypoda,class,mollusca,phylum
55,polyplacophora,class,mollusca,phylum
849233,rostroconchia,class,mollusca,phylum
104,scaphopoda,class,mollusca,phylum
2094,solenogastres,class,mollusca,phylum
411,aplacophora,class,mollusca,phylum
146215,apicomplexa incertae sedis,class,myzozoa,phylum
2132,adenophorea,class,nematoda,phylum
731848,chromadorea,class,nematoda,phylum
834422,enoplea,class,nematoda,phylum
22945,nematoda incertae sedis,class,nematoda,phylum
2133,secernentea,class,nematoda,phylum
178814,gordiaces,class,nematomorpha,phylum
162760,nectonematoida,class,nematomorpha,phylum
1293,anopla,class,nemertea,phylum
1294,enopla,class,nemertea,phylum
122309,hoplonemertea,class,nemertea,phylum
146899,nemertea incertae sedis,class,nemertea,phylum
122307,palaeonemertea,class,nemertea,phylum
1320351,pilidiophora,class,nemertea,phylum
NA,NA,NA,nemertina,phylum
NA,NA,NA,nemertini,phylum
1359028,chrysoparadoxophyceae,class,ochrophyta,phylum
172230,oomycetes,class,oomycota,phylum
NA,NA,NA,orthonectida,phylum
NA,NA,NA,pentastomida,phylum
NA,NA,NA,phoronida,phylum
NA,NA,NA,placozoa,phylum
NA,NA,NA,plantae incertae sedis,phylum
794,turbellaria,class,platyhelminthes,phylum
1051,cestoda,class,platyhelminthes,phylum
798,monogenea,class,platyhelminthes,phylum
717338,monogenoidea,class,platyhelminthes,phylum
19948,trematoda,class,platyhelminthes,phylum
853042,afrenulata,class,pogonophora,phylum
1298,frenulata,class,pogonophora,phylum
559,calcarea,class,porifera,phylum
886287,calcispongia,class,porifera,phylum
606625,calcispongiae,class,porifera,phylum
164811,demospongiae,class,porifera,phylum
22612,hexactinellida,class,porifera,phylum
131587,homoscleromorpha,class,porifera,phylum
606624,hyalospongiae,class,porifera,phylum
146191,porifera incertae sedis,class,porifera,phylum
196313,sclerospongiae,class,porifera,phylum
NA,NA,NA,prasinophyta,phylum
NA,NA,NA,priapulida,phylum
NA,NA,NA,prymnesiophyta,phylum
586732,acantharia,class,radiozoa,phylum
235740,polycystina,class,radiozoa,phylum
450770,radiozoa incertae sedis,class,radiozoa,phylum
235736,sticholonchea,class,radiozoa,phylum
21263,rhodophyceae,class,rhodophyta,phylum
368669,compsopogonophyceae,class,rhodophyta,phylum
493832,porphyridiophyceae,class,rhodophyta,phylum
368671,rhodellophyceae,class,rhodophyta,phylum
368672,stylonematophyceae,class,rhodophyta,phylum
368537,eurotatoria,class,rotifera,phylum
368538,pararotatoria,class,rotifera,phylum
22622,seisonidea,class,rotifera,phylum
1295,phascolosomatidea,class,sipuncula,phylum
255176,sipuncula incertae sedis,class,sipuncula,phylum
1296,sipunculidea,class,sipuncula,phylum
NA,NA,NA,sipunculida,phylum
136619,eutardigrada,class,tardigrada,phylum
136620,heterotardigrada,class,tardigrada,phylum
NA,NA,NA,xanthophyta,phylum
NA,NA,NA,xenacoelomorpha,phylum
